date,location_name,iso2_code,target_group,dose,doses_administered
2023-12-31,Belgium,BE,ALL,,42666
2023-12-31,Bulgaria,BG,ALL,,3533
2023-12-31,Cyprus,CY,ALL,,514
2023-12-31,Czechia,CZ,ALL,,34596
2023-12-31,Germany,DE,ALL,,836494
2023-12-31,Denmark,DK,ALL,,54198
2023-12-31,Estonia,EE,ALL,,10426
2023-12-31,Greece,GR,ALL,,62603
2023-12-31,Spain,ES,ALL,,583187
2023-12-31,Finland,FI,ALL,,184834
2023-12-31,France,FR,ALL,,959338
2023-12-31,Hungary,HU,ALL,,5492
2023-12-31,Ireland,IE,ALL,,77753
2023-12-31,Iceland,IS,ALL,,4806
2023-12-31,Liechtenstein,LI,ALL,,166
2023-12-31,Luxembourg,LU,ALL,,4000
2023-12-31,Malta,MT,ALL,,1310
2023-12-31,Netherlands,NL,ALL,,476327
2023-12-31,Norway,NO,ALL,,58906
2023-12-31,Poland,PL,ALL,,378939
2023-12-31,Portugal,PT,ALL,,124475
2023-12-31,Sweden,SE,ALL,,357871
2023-12-31,Slovenia,SI,ALL,,6363
2023-12-31,Slovakia,SK,ALL,,2202
2023-12-31,Belgium,BE,Age60+,,28130
2023-12-31,Cyprus,CY,Age60+,,422
2023-12-31,Czechia,CZ,Age60+,,27342
2023-12-31,Germany,DE,Age60+,,710369
2023-12-31,Greece,GR,Age60+,,51442
2023-12-31,Spain,ES,Age60+,,436072
2023-12-31,Finland,FI,Age60+,,162130
2023-12-31,France,FR,Age60+,,813272
2023-12-31,Liechtenstein,LI,Age60+,,134
2023-12-31,Lithuania,LT,Age60+,,5832
2023-12-31,Netherlands,NL,Age60+,,400639
2023-12-31,Norway,NO,Age60+,,46636
2023-12-31,Portugal,PT,Age60+,,107579
2023-12-31,Sweden,SE,Age60+,,237870
2023-12-31,Slovakia,SK,Age60+,,1524
2023-12-31,Belgium,BE,Age60_69,,12619
2023-12-31,Bulgaria,BG,Age60_69,,765
2023-12-31,Cyprus,CY,Age60_69,,109
2023-12-31,Czechia,CZ,Age60_69,,8424
2023-12-31,Denmark,DK,Age60_69,,15473
2023-12-31,Estonia,EE,Age60_69,,2630
2023-12-31,Greece,GR,Age60_69,,16877
2023-12-31,Spain,ES,Age60_69,,197336
2023-12-31,Finland,FI,Age60_69,,51061
2023-12-31,France,FR,Age60_69,,231941
2023-12-31,Hungary,HU,Age60_69,,1353
2023-12-31,Ireland,IE,Age60_69,,20007
2023-12-31,Iceland,IS,Age60_69,,2044
