"rep","month","VE_inf","VE_sev"
133,28,0.488144816660622,0.497256574920121
133,29,0.472571022525285,0.481392078840399
133,30,0.457107822706283,0.465640241441196
133,31,0.441789701599646,0.450036190807604
133,32,0.42664790965811,0.434611760716326
133,33,0.411710575258803,0.419395604591493
133,34,0.397002830508083,0.404413323657785
133,35,0.382546947389867,0.389687605630122
133,36,0.3683624811853,0.375238370810413
134,0,0.762125321276857,0.770916872062128
134,1,0.762047574204862,0.77083822813326
134,2,0.761542279886032,0.770327104955919
134,3,0.76028020104296,0.769050467312694
134,4,0.758023088367316,0.766767317553434
134,5,0.754608062734351,0.763312897649675
134,6,0.749934194932769,0.758585114114035
134,7,0.743951006402325,0.75253290608725
134,8,0.736648646841997,0.745146309639452
134,9,0.728049533319416,0.736448000431946
134,10,0.718201261063553,0.72648612273185
134,11,0.707170618803535,0.71532823571442
134,12,0.69503856163667,0.703056228340242
134,13,0.681896012245814,0.689762072137235
134,14,0.667840377088288,0.675544297201832
134,15,0.652972678167936,0.660505090884377
134,16,0.637395213377127,0.644747931141844
134,17,0.621209669334365,0.628375677605949
134,18,0.604515620304264,0.61148905318731
134,19,0.587409355311977,0.594185457659969
134,20,0.569982983080281,0.576558062273418
134,21,0.552323771037593,0.558695141135694
134,22,0.53451368047004,0.540679601003163
134,23,0.516629065010413,0.522588676291372
134,24,0.49874050415157,0.504493760667931
134,25,0.480912747413159,0.486460350575173
134,26,0.463204748242067,0.46854807952166
134,27,0.445669769745472,0.450810825034926
134,28,0.428355546991239,0.433296872834102
134,29,0.411304492908463,0.416049125105641
134,30,0.394553936821191,0.399105341788658
134,31,0.378136386386052,0.382498405534165
134,32,0.362079805211212,0.366256602526517
134,33,0.346407899737628,0.350403912674004
134,34,0.331140410088659,0.334960303813581
134,35,0.316293400562749,0.319942025554548
134,36,0.301879546275332,0.305361899227032
135,0,0.763596760469383,0.807777001971183
135,1,0.76345019321356,0.80762195461553
135,2,0.762514471285374,0.806632093614333
135,3,0.760223661669255,0.80420874215504
135,4,0.75620996245137,0.79996281801172
135,5,0.750261558800465,0.793670251153934
135,6,0.742287793286521,0.785235138886937
135,7,0.732290517310524,0.774659439730218
135,8,0.720340653632915,0.762018179898877
135,9,0.706559140865287,0.747439295280222
135,10,0.691101552273457,0.731087360310334
135,11,0.674145785897022,0.713150565867596
135,12,0.655882313058169,0.693830403578952
135,13,0.636506549759673,0.673333595841657
135,14,0.616212981955598,0.65186588119342
135,15,0.595190732694634,0.629627324979177
135,16,0.57362030796948,0.606808876921567
135,17,0.551671299872191,0.583589941385263
135,18,0.529500861324521,0.560136763858142
135,19,0.507252797065491,0.536601469345139
135,20,0.485057141465717,0.513121615755728
135,21,0.463030115732321,0.489820148632782
135,22,0.441274375717564,0.46680566329895
135,23,0.419879477323319,0.444172897188525
135,24,0.398922499812216,0.422003389222186
135,25,0.378468778549613,0.400366254944006
135,26,0.358572708114283,0.379319036098578
135,27,0.339278584594076,0.358908591660294
135,28,0.320621462453258,0.339172004277372
135,29,0.302628006816466,0.320137481867331
135,30,0.285317326528754,0.301825238876286
135,31,0.268701777066475,0.284248345644716
135,32,0.252787725413834,0.267413537538297
135,33,0.237576271490997,0.251321978116464
135,34,0.223063922712588,0.235969972719561
135,35,0.209243219847657,0.221349630539867
135,36,0.196103313610104,0.207449474572431
136,0,0.765064148060567,0.778374911249707
136,1,0.764986483062879,0.778295895018406
136,2,0.764481659716687,0.777782288638752
136,3,0.763220582198414,0.776499270601829
136,4,0.760964939653544,0.774204383865697
136,5,0.757551649092133,0.770731708084793
136,6,0.752879483700319,0.76597825527771
136,7,0.746897612026734,0.75989230961572
136,8,0.739595805591288,0.752463464661266
136,9,0.730996100986769,0.743714140404882
136,10,0.721145727882742,0.733692388228858
136,11,0.71011113683823,0.722465814814431
136,12,0.697972980790979,0.710116476317829
136,13,0.684821921790936,0.696736612148337
136,14,0.670755150229536,0.682425103638324
136,15,0.655873517704071,0.667284557024522
136,16,0.640279196944505,0.651418922661709
136,17,0.624073793094218,0.634931573443073
136,18,0.607356840233549,0.617923775165929
136,19,0.590224625505973,0.60049349019977
136,20,0.572769290676739,0.582734463413609
136,21,0.555078167534766,0.56473554601505
136,22,0.537233309340524,0.546580218846187
136,23,0.51931118561459,0.528346281862023
